region,period,scen,rem
208,2045,SSP1,0.121690891
208,2050,SSP1,0.182063697
208,2055,SSP1,0.259271673
208,2060,SSP1,0.358769366
208,2065,SSP1,0.509910139
208,2070,SSP1,0.442829444
208,2075,SSP1,0.523820823
208,2080,SSP1,0.601746715
208,2085,SSP1,0.125772434
208,2090,SSP1,-0.083983621
208,2095,SSP1,0.050672779
208,2100,SSP1,-1.063570585
214,2015,SSP1,NA
214,2020,SSP1,6.399024206
214,2025,SSP1,7.154511773
214,2030,SSP1,7.948299698
214,2035,SSP1,8.720295441
214,2040,SSP1,9.681835939
214,2045,SSP1,10.43165413
214,2050,SSP1,11.09206244
214,2055,SSP1,11.96493567
214,2060,SSP1,12.69104988
214,2065,SSP1,13.3919104
214,2070,SSP1,14.44046202
214,2075,SSP1,15.33367139
214,2080,SSP1,15.97553464
214,2085,SSP1,16.78087256
214,2090,SSP1,17.51199608
214,2095,SSP1,17.71044223
214,2100,SSP1,15.71190751
12,2015,SSP1,NA
12,2020,SSP1,2.849202638
12,2025,SSP1,3.215438521
12,2030,SSP1,3.756810722
12,2035,SSP1,4.398996742
12,2040,SSP1,5.188141321
12,2045,SSP1,6.173584246
12,2050,SSP1,7.09663483
12,2055,SSP1,8.030300938
12,2060,SSP1,9.19221524
12,2065,SSP1,10.2715271
12,2070,SSP1,11.31928442
12,2075,SSP1,12.67363194
12,2080,SSP1,13.75561448
12,2085,SSP1,14.49641086
